 w1  w10  w100 w1000 wwd whrb  s1   s10 s100 s1000 swd shrb hd scm emo dp   wnd
No M fueltype
  0.20  0.0  0.0   0.0  0.0 0.3  3000   0  0     0    0 3000 8000 301 15 0.8  0.6
  3.50  4.0  0.5   0.0 11.5 0.0   700 109 30     8 1250    0 9500  58 15 4.5  0.5
  0.40  1.0  0.0   0.0  0.5 0.8  2000 109 30     0 1500 2500 8000  32 20 0.75 0.4
  2.0   1.0  0.0   0.0  3.0 0.75 1250 109  0     0 1500 1500 9000  68 30 2.0  0.4
  1.50  0.5  0.25  0.0  0.5 0.5  2000 109 30     0 1500 2000 8000  25 25 0.4  0.4
  2.50  2.0  1.5   0.0  9.0 0.0   700 109 30     0 1250    0 9500  24 15 4.5  0.5
  2.50  2.0  5.0  12.0  0.5 0.5  2000 109 30     8 1500 2000 8000  30 25 1.0  0.4
  1.50  1.0  2.0   2.0  0.5 0.5  2000 109 30     8 1500 2000 8000   8 20 0.3  0.4
 12.00 12.0 10.0  12.0  0.0 0.0  1500 109 30     8    0    0 8000  65 25 2.0  0.5
  7.00  7.0  6.0   5.5  0.0 0.0  1500 109 30     8    0    0 8000  44 25 1.3  0.5
  2.50  2.5  2.0   2.5  0.0 0.0  1500 109 30     8    0    0 8000  23 25 0.6  0.5
  0.25  0.0  0.0   0.0  0.0 0.5  2000   0  0     0    0 2000 8000 178 15 1.0  0.6
  1.50  1.5  0.0   0.0  2.0 0.0  1600 109  0     0 1500    0 8700 167 25 3.0  0.6
  2.00  3.0  3.0   2.0  7.0 0.0  1500 109 30     8 1500 1500 9000  99 30 4.0  0.5
  1.00  1.0  0.5   0.0  0.5 0.5  1750 109 30     0 1500 2000 8000  14 30 0.4  0.4
  2.00  2.5  2.0   1.0  4.0 0.5  1500 109 30     8 1200 1500 8000  59 25 3.0  0.4
  0.50  0.5  0.5   0.0  0.5 0.5  1500 109 30     8 1500 2000 8000   6 25 0.25 0.4
  0.50  0.5  0.5   0.5  0.5 0.5  1500 106 30     8 1200 1500 8000  17 25 0.4  0.6
  1.00  0.5  0.0   0.0  2.5 0.5  2500 109  0     0 1500 2000 8000  96 15 1.25 0.6
  1.50  1.5  1.0   0.0  0.5 0.5  1750 109 30     0 1500 2000 8000  16 20 0.5  0.4
